"id","stargazers_count","forks_count","watchers_count","open_issues_count","size","language","has_wiki","popular"
204086862,44197,4196,44197,1296,925105,"Python",0,1
266417772,44161,3171,44161,24,2404867,"Python",0,1
1201656210,43798,5612,43798,338,1929,"Python",0,1
873328,43565,4658,43565,2051,838198,"Python",0,1
819554665,43530,3012,43530,195,35239,"Python",0,1
474839179,43243,4276,43243,332,281373,"Python",1,1
638629097,43238,4194,43238,1481,140294,"Python",1,1
671269505,43063,7188,43063,2441,1015215,"Python",1,1
519832,43056,4510,43056,420,68505,"Python",0,1
522158088,43041,9897,43041,358,6495,"Python",1,1
4578002,42704,7038,42704,13,3844,"Python",1,1
162405963,42303,3385,42303,470,318663,"Python",1,1
83119431,42181,11574,42181,3,171378,"Python",0,1
237791077,42179,2722,42179,385,72563,"Python",1,1
71932349,42089,7428,42089,3580,710229,"Python",0,1
235860204,42064,4792,42064,1288,246012,"Python",0,1
91253698,41814,8603,41814,1318,6529157,"Python",1,1
125266328,41460,2757,41460,325,7860,"Python",1,1
422274596,41364,4517,41364,494,66636,"Python",1,1
90563585,41211,1908,41211,144,4717,"Python",1,1
613349035,41170,5184,41170,605,9362,"Python",0,1
287463830,40637,6387,40637,390,17977,"Python",1,1
822604462,40368,7501,40368,54,187489,"Python",1,1
154747577,39977,9708,39977,881,317,"Python",1,1
70905478,39479,7309,39479,92,3638,"Python",1,1
615882673,39446,4797,39446,1020,35345,"Python",0,1
488641606,39384,5247,39384,724,280749,"Python",1,1
31522041,39292,11409,39292,17,303071,"Python",1,1
1147094660,39256,6869,39256,955,37308,"Python",0,1
1044296738,39111,4521,39111,125,215670,"Python",1,1
640079149,39097,3748,39097,23,130685,"Python",0,1
806709826,39063,4237,39063,58,10772,"Python",1,1
143328315,38966,6185,38966,75,280235,"Python",1,1
969302809,38356,3132,38356,208,20328,"Python",0,1
118861276,38341,6716,38341,0,13286,"Python",1,1
838253246,38192,3424,38192,305,8298,"Python",1,1
458648791,38039,2418,38039,6,185488,"Python",1,1
571613891,37970,3345,37970,127,2988636,"Python",0,1
3544424,37912,3890,37912,269,6925,"Python",0,1
621799276,37804,6189,37804,21,144496,"Python",1,1
265122478,37751,2776,37751,475,47068,"Python",1,1
577603990,37418,3293,37418,296,35477,"Python",0,1
349321229,37418,6278,37418,403,5467,"Python",1,1
631567741,37278,2595,37278,7,5575,"Python",1,1
191113739,37216,9405,37216,36,1161,"Python",1,1
57222302,37158,8705,37158,128,7125,"Python",1,1
4793392,37055,6239,37055,62,87381,"Python",1,1
101684374,36918,2666,36918,70,1464,"Python",1,1
393571599,36903,5229,36903,482,130787,"Python",1,1
168799526,36637,5142,36637,66,30617,"Python",1,1
872119017,36514,3128,36514,3,7889,"Python",1,1
24976755,36241,10896,36241,12,72904,"Python",1,1
725089041,36224,4031,36224,300,3944,"Python",1,1
642323624,35910,3431,35910,154,34847,"Python",1,1
1052050442,35649,4208,35649,93,184236,"Python",1,1
1016323751,35610,2419,35610,127,10873,"Python",0,1
355959597,35385,1165,35385,271,494762,"Python",1,1
154739597,35369,3522,35369,2207,162209,"Python",0,1
619521008,35193,4978,35193,723,14585,"Python",1,1
520969009,35140,2272,35140,35,5715,"Python",1,1
387326890,35036,4307,35036,638,5514,"Python",1,1
2881789,34959,12918,34959,496,49998,"Python",1,1
6007295,34847,6705,34847,700,56033,"Python",1,1
206660580,34302,7921,34302,585,6866,"Python",0,1
123303402,34268,2427,34268,560,24354,"Python",0,1
608555244,34165,3240,34165,255,41169,"Python",1,1
91573538,34147,9674,34147,280,58570,"Python",1,1
396569538,34042,2132,34042,94,117335,"Python",0,1
595893961,33793,3007,33793,461,125281,"Python",1,1
679237742,33774,3500,33774,243,52680,"Python",1,1
712111618,33729,2332,33729,403,18461,"Python",1,1
587050620,33635,2785,33635,484,177640,"Python",1,1
4086616,33615,18198,33615,451,891,"Python",1,1
1025856648,33491,3631,33491,3,2529,"Python",1,1
21467110,33455,4672,33455,198,203709,"Python",0,1
29290473,33430,7575,33430,7924,60661,"Python",1,1
498011141,33310,6919,33310,986,94613,"Python",1,1
15333471,33216,2301,33216,147,69214,"Python",1,1
866513204,33056,4705,33056,205,88019,"Python",0,1
853189791,33011,2977,33011,104,54551,"Python",1,1
26516210,32986,3494,32986,182,72435,"Python",1,1
1864233,32878,10919,32878,2102,1643347,"Python",1,1
683892956,32689,4056,32689,49,377715,"Python",0,1
145670234,32588,9843,32588,1959,64771,"Python",1,1
235901813,32570,2514,32570,3386,4852094,"Python",0,1
1134426800,32496,5410,32496,3,47849,"Python",1,1
28751632,32472,3521,32472,30,21387,"Python",0,1
305144746,32365,4052,32365,188,108198,"Python",0,1
71056775,32353,1345,32353,11,69183,"Python",1,0
84533158,32267,8254,32267,88,13110,"Python",1,0
2909429,32236,1718,32236,98,53227,"Python",1,0
101782647,32200,6676,32200,1355,26071,"Python",0,0
778431525,32173,3384,32173,91,206927,"Python",1,0
908607,31839,12296,31839,2340,174612,"Python",1,0
162723104,31751,4431,31751,54,2234566,"Python",0,0
34757182,31329,4639,31329,75,7768,"Python",1,0
80990461,31270,5251,31270,73,553,"Python",1,0
333483116,31113,1753,31113,328,19023,"Python",1,0
36804486,31105,1442,31105,608,6053,"Python",1,0
178626720,31040,3706,31040,988,133682,"Python",0,0
321659062,30723,1203,30723,1,1540184,"Python",0,0
646480766,30498,6898,30498,4,99784,"Python",1,0
307213173,30470,4704,30470,382,7915,"Python",0,0
1176011916,30359,2906,30359,39,23299,"Python",0,0
21484781,30283,5695,30283,120,116461,"Python",0,0
612427246,30254,4001,30254,190,8654,"Python",1,0
58842707,30234,2362,30234,69,4365,"Python",0,0
4008931,30190,2399,30190,144,1774486,"Python",1,0
1431547,29961,7067,29961,76,64281,"Python",0,0
575865240,29808,2010,29808,958,59657,"Python",1,0
837911756,29652,4515,29652,26,194,"Python",0,0
1131513930,29578,30293,29578,57,58977,"Python",0,0
1000362065,29454,3478,29454,38,61560,"Python",0,0
756289095,29328,3160,29328,89,431,"Python",1,0
702796244,29314,2469,29314,25,28576,"Python",0,0
48623558,29311,1222,29311,366,4364,"Python",1,0
772699441,29291,3529,29291,217,569,"Python",0,0
247266215,29285,3553,29285,525,161635,"Python",1,0
54376220,29137,7245,29137,34,303785,"Python",1,0
676672661,29084,4988,29084,493,516502,"Python",0,0
38696925,29023,6017,29023,23,19332,"Python",1,0
29749635,28995,8029,28995,45,49025,"Python",1,0
369178935,28927,3882,28927,400,11380,"Python",1,0
760231710,28866,2929,28866,11,34694,"Python",1,0
196760810,28717,13030,28717,20,156067,"Python",0,0
152166877,28609,5021,28609,195,317904,"Python",0,0
712225112,28486,2668,28486,110,97234,"Python",0,0
263556058,28438,2682,28438,13,15479,"Python",1,0
102057483,28394,5980,28394,1260,59916,"Python",0,0
184460,28346,5008,28346,782,36584,"Python",1,0
13926404,28336,4570,28336,745,29644,"Python",1,0
557075997,28287,1707,28287,274,34628,"Python",0,0
357241735,28232,2741,28232,222,115237,"Python",0,0
211124697,28164,3067,28164,274,9630,"Python",1,0
82729529,28160,1477,28160,172,6260,"Python",0,0
776854298,28073,2557,28073,104,8212,"Python",1,0
612139233,28041,5074,28041,27,11145,"Python",1,0
573819845,27947,4395,27947,11,1935,"Python",1,0
1377867,27698,3196,27698,12,37813,"Python",1,0
196284711,27627,841,27627,154,28913,"Python",1,0
679869950,27491,4426,27491,0,31672,"Python",0,0
90194616,27456,2542,27456,544,381742,"Python",0,0
90356372,27227,1503,27227,202,16633,"Python",1,0
752925682,27094,1972,27094,45,7000,"Python",0,0
656933936,27082,3071,27082,342,88668,"Python",1,0
633262635,26805,3566,26805,350,967364,"Python",0,0
898968194,26570,2476,26570,490,7317,"Python",1,0
49935814,26554,5644,26554,304,955,"Python",1,0
50617428,26513,4069,26513,1,146079,"Python",0,0
639835356,26406,3523,26406,213,43291,"Python",0,0
105919803,26396,5403,26396,331,4525,"Python",0,0
37347459,26225,1143,26225,166,18275,"Python",1,0
221723816,26194,8246,26194,102,25637,"Python",1,0
4037197,26055,2764,26055,32,36829,"Python",1,0
921777121,25981,2412,25981,336,6799,"Python",1,0
935604638,25906,2894,25906,31,24814,"Python",1,0
1092047360,25766,3108,25766,17,12093,"Python",1,0
628419800,25741,2906,25741,376,66584,"Python",1,0
740303686,25707,5309,25707,2745,115842,"Python",0,0
107595270,25541,11681,25541,2022,122597,"Python",1,0
74073233,25417,4734,25417,1,1904,"Python",1,0
836642963,25400,1874,25400,217,37489,"Python",1,0
136202695,25305,5564,25305,1996,1405982,"Python",1,0
777111718,25263,2113,25263,229,44273,"Python",1,0
479451389,25144,1005,25144,22,171818,"Python",0,0
958531089,25096,2118,25096,125,24145,"Python",0,0
79510167,25088,1880,25088,15,258503,"Python",1,0
88612945,25075,6576,25075,588,8464,"Python",1,0
300996055,25042,3484,25042,141,10897,"Python",1,0
43160685,25016,9776,25016,2069,619589,"Python",0,0
42625970,24891,6573,24891,451,242833,"Python",1,0
1112189620,24882,3914,24882,247,5424,"Python",0,0
840056306,24832,2460,24832,349,14599,"Python",0,0
11407242,24802,2225,24802,285,3499,"Python",0,0
170067246,24761,5873,24761,197,4486,"Python",0,0
629102662,24673,2755,24673,1138,14057,"Python",1,0
621118467,24634,2099,24634,1342,41674,"Python",1,0
10332822,24601,2585,24601,7,319260,"Python",0,0
1013480284,24510,2411,24510,147,171789,"Python",1,0
896296825,24494,1921,24494,235,49181,"Python",0,0
62743585,24459,2112,24459,120,159944,"Python",0,0
749647889,24352,1902,24352,45,531998,"Python",0,0
971241545,24270,3230,24270,331,1532,"Python",1,0
281229404,24255,1819,24255,1379,561099,"Python",1,0
33702544,24197,2275,24197,547,202798,"Python",0,0
288108533,24131,3208,24131,81,1485,"Python",1,0
1200597263,23992,2533,23992,100,435,"Python",1,0
1008857871,23945,5028,23945,222,75256,"Python",1,0
66424871,23838,9821,23838,250,42754,"Python",1,0
100401612,23800,784,23800,249,2459,"Python",0,0
106024057,23669,3979,23669,1259,24801,"Python",0,0
1032808806,23536,2561,23536,94,4705,"Python",1,0
752615721,23514,6899,23514,0,1298626,"Python",0,0
742244656,23505,2466,23505,199,50683,"Python",0,0
631258918,23447,2297,23447,19,57432,"Python",1,0
10270250,244438,50910,244438,1222,957175,"JavaScript",0,1
126577260,195824,31087,195824,400,14903,"JavaScript",0,1
1136590548,153116,23750,153116,83,29462,"JavaScript",1,1
6498492,148105,26731,148105,190,3727,"JavaScript",1,1
70107786,138870,30876,138870,3734,2541374,"JavaScript",0,1
112507086,127441,12472,127441,2,742993,"JavaScript",0,1
27193779,116691,35332,116691,2613,1451481,"JavaScript",0,1
576201,111895,36330,111895,564,1574184,"JavaScript",1,1
23088740,108994,11623,108994,266,25955,"JavaScript",0,1
63537249,103535,27097,103535,2377,25186,"JavaScript",0,1
23083156,98137,32691,98137,1678,734980,"JavaScript",0,1
311525798,95576,15350,95576,62,2203396,"JavaScript",1,1
74791366,94309,12482,94309,123,520,"JavaScript",1,1
74293321,86285,4888,86285,981,120240,"JavaScript",1,1
382496361,85181,7632,85181,718,35396,"JavaScript",1,1
278335273,79023,32466,79023,279,7685,"JavaScript",0,1
3470471,76500,12228,76500,322,152168,"JavaScript",0,1
14747598,75578,7280,75578,712,4258,"JavaScript",0,1
1861458,70981,16810,70981,893,35134,"JavaScript",1,1
237159,68926,23095,68926,208,9760,"JavaScript",1,1
8843683,67349,11966,67349,546,43761,"JavaScript",0,1
53809090,67073,4489,67073,96,178233,"JavaScript",1,1
147350463,66311,9188,66311,0,2933,"JavaScript",1,1
3678731,65838,9378,65838,208,80187,"JavaScript",0,1
1334369,62823,1367,62823,71,411,"JavaScript",1,1
33263118,62711,4008,62711,17,162637,"JavaScript",1,1
3955647,61322,7128,61322,141,49831,"JavaScript",1,1
3228505,60870,17257,60870,994,330585,"JavaScript",0,1
92443980,60392,5649,60392,71,3212,"JavaScript",1,1
